Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
Asus Vivobook 15 X1504VA – i5,"රු235,000.00",16GB,13,i5,SSD,512GB
Asus ExpertBook B1 B1402CV – i7,"රු325,000.00",16GB,13,i7,SSD,1TB
Asus ExpertBook B1 B1502CVA – i5,"රු245,000.00",8GB,13,i5,SSD,512GB
MSI Vector 16 HX A14VGG Gaming – i9,"රු730,000.00",16GB,14,i9,SSD,1TB
MSI Cyborg 15 A12VE Gaming – i5,"රු335,000.00",16GB,12,i5,SSD,512GB
MSI Cyborg 15 A12UDX Gaming – i7,"රු320,000.00",16GB,12,i7,SSD,512GB
MSI Cyborg Gaming 15 AI A1VFK – Ultra 7,"රු450,000.00",16GB,13,Ultra 7,SSD,512GB
Dell Vostro 3530 – i5,"රු235,000.00",8GB,13,i5,SSD,512GB
Dell Inspiron 3520 – i5,"රු184,000.00",8GB,12,i5,SSD,512GB
Huawei MateBook D14 – i5,"රු260,000.00",16GB,13,i5,SSD,512GB
MSI Cyborg Gaming 15 AI A1VEK – Ultra 7,"රු420,000.00",16GB,13,Ultra 7,SSD,512GB
Apple MGN63 13.3″ MacBook Air – M1,"රු265,000.00",8GB,1,N/A,SSD,256GB
HP ProBook 450 G9 – i7,"රු300,000.00",8GB,12,i7,SSD,512GB
Lenovo IdeaPad Slim 3 15IAH8 – i5,"රු180,000.00",16GB,12,i5,SSD,512GB
Lenovo Yoga Pro 7 14AHP9 – Ryzen 7,"රු445,000.00",16GB,8,Ryzen 7,SSD,1TB
Lenovo IdeaPad 1 15AMN7 – AMD Athlon,"රු123,000.00",8GB,2, Athlon Silver ,SSD,256GB
HP 15s fq5343TU – i5,"රු190,000.00",8GB,12,i5,SSD,512GB
Lenovo IdeaPad Slim 3 15AMN8 – Ryzen 3,"රු145,000.00",8GB,7,Ryzen 3,SSD,512GB
HP 15s eq3076AU – Ryzen 7,"රු215,000.00",8GB,5,Ryzen 7,SSD,512GB
Lenovo IdeaPad Slim 3 16IRU9 – Core 5,"රු253,000.00",16GB,14,i5,SSD,512GB
Lenovo IdeaPad Slim 3 15IRU8 – i3,"රු155,000.00",8GB,13,i3,SSD,512GB
Lenovo IdeaPad Slim 3 15AMN8 – Ryzen 5,"රු185,000.00",16GB,7,Ryzen 5,SSD,512GB
Lenovo IdeaPad 3 15IAU7 – i3,"රු147,000.00",8GB,12,i3,SSD,512GB
Asus Zenbook 14 UX3405 – Ultra 5,"රු495,000.00",16GB,12,Ultra 5,SSD,1TB
Lenovo IdeaPad 5 2-in-1 14IRU9 – Core 7,"රු337,000.00",16GB,14,i7,SSD,1TB
