Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
ASUS,"Original price was: රු 220,000.00.",16GB,13,i7,SSD,512GB
Lenovo,"Original price was: රු 750,000.00.",16GB,12,i5,SSD,1TB
GIGABYTE,"Original price was: රු 399,000.00.",16GB,13,i7,SSD,512GB
GIGABYTE,"Original price was: රු 345,000.00.",32GB,14,i7,SSD,1TB
ASUS,"Original price was: රු 160,000.00.",8GB,12,i5,SSD,1TB
ASUS,"Original price was: රු 279,000.00.",16GB,12,i5,SSD,512GB
ASUS,"Original price was: රු 285,000.00.",16GB,12,i5,SSD,512GB
ASUS,"Original price was: රු 385,000.00.",8GB,13,i3,SSD,1TB
HP,"Original price was: රු 218,000.00.",8GB,7,Ryzen 5,SSD,512GB
ASUS,"Original price was: රු 1,250,000.00.",32GB,14,i9,SSD,1TB
HP,"Original price was: රු 122,500.00.",8GB,13,i5,HDD,256GB
ASUS,"Original price was: රු 188,000.00.",4GB,13,i7,SSD,512GB
Lenovo,"Original price was: රු 218,000.00.",8GB,7,Ryzen 7,SSD,512GB
GIGABYTE,"Original price was: රු 365,000.00.",16GB,12,i5,SSD,512GB
ASUS,"Original price was: රු 258,000.00.",16GB,13,i7,SSD,512GB
ASUS,"Original price was: රු 190,000.00.",4GB,13,i7,SSD,512GB
Lenovo,"Original price was: රු 330,000.00.",16GB,10,i7,SSD,1TB
GIGABYTE,"Original price was: රු 800,000.00.",16GB,12,i7,SSD,512GB
Lenovo,"Original price was: රු 135,000.00.",4GB,10,i7,SSD,256GB
ASUS,"Original price was: රු 188,000.00.",16GB,12,i5,SSD,512GB
Lenovo,"Original price was: රු 330,000.00.",8GB,11,i5,SSD,512GB
Lenovo,"Original price was: රු 330,000.00.",8GB,13,i3,SSD,512GB
Lenovo,"Original price was: රු 750,000.00.",16GB,12,i5,SSD,512GB
Lenovo,"Original price was: රු 525,000.00.",16GB,12,i7,SSD,512GB
Lenovo,"Original price was: රු 385,000.00.",8GB,10,i5,HDD,1TB
Lenovo,"Original price was: රු 775,000.00.",32GB,11,i7,SSD,1TB
GIGABYTE,"Original price was: රු 365,000.00.",16GB,12,i5,SSD,512GB
MSI,"Original price was: රු 390,000.00.",16GB,12,i3,SSD,512GB
MSI,"Original price was: රු 650,000.00.",8GB,12,i7,SSD,512GB
MSI,"Original price was: රු 450,000.00.",16GB,12,i7,SSD,512GB
MSI,"Original price was: රු 300,000.00.",16GB,11,i7,SSD,512GB
MSI,"Original price was: රු 450,000.00.",16GB,12,i7,SSD,1TB
MSI,"Original price was: රු 450,000.00.",16GB,14,i7,SSD,1TB
MSI,"Original price was: රු 390,000.00.",16GB,12,i7,SSD,1TB
