Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
MSI Katana GF66 12UC i7-12700H|8GB|512GB|RTX3050,"Rs. 385,000.00",8GB,12,i7,SSD,512GB
HP Laptop 15-dy5131wm i3-1215U|8GB|256GB|Win 11,"Rs. 138,500.00",8GB,12,i3,SSD,256GB
MSI Modern 15 - B13M i3-1315U|8GB|512GB|Win 11,"Rs. 179,100.00",8GB,13,i3,SSD,512GB
MSI Cyborg 15 A13VE I7-13620H|16GB|512GB|RTX 4050,"Rs. 375,000.00",16GB,13,i7,SSD,512GB
MSI Cyborg 15 A12UDX i7-12650H|16GB|512GB|RTX3050,"Rs. 325,000.00",16GB,12,i7,SSD,512GB
MSI Thin 15 B13UCX I5-13420H|8GB|512GB|RTX2050|144hz,"Rs. 299,000.00",8GB,13,i5,SSD,512GB
Victus Gaming Laptop 15-fb1013dx R5 7535HS|8GB|512GB|RTX 2050,"Rs. 233,900.00",8GB,7,Ryzen 5,SSD,512GB
ASUS ZENBOOK 14 OLED Q415MA CORE ULTRA 5|8GB|512GB|14 OLED,"Rs. 264,000.00",8GB,12,Ultra 5,SSD,512GB
ASUS TUF Gaming F15 FX507VV4 i7-13700H|8GB|512GB|RTX 4060,"Rs. 474,000.00",8GB,13,i7,SSD,512GB
ROG Strix G16 '2023' G614JV-AS73|16GB|512GB|RTX 4060,"Rs. 554,000.00",16GB,13,i7,SSD,512GB
Lenovo V15 G4 IRU i5-1335U|8GB|512GB|DOS,"Rs. 173,000.00",8GB,13,i5,SSD,512GB
Lenovo V15 G4 IRU i3-1315U|8GB|512GB|DOS,"Rs. 138,900.00",8GB,13,i3,SSD,512GB
Lenovo IdeaPad 3 AMD Ryzen 7 5700U|8GB|512GB|15.6 IPS,"Rs. 289,000.00",8GB,5,Ryzen 7,SSD,512GB
ASUS TUF Gaming F15 FX507ZC4 I5-12500H|16GB|512GB|RTX3050,"Rs. 288,000.00",16GB,12,i5,SSD,512GB
MSI Cyborg 15 A12VE I5-12450H|16GB|512GB|RTX 4050,"Rs. 357,000.00",16GB,12,i5,SSD,512GB
ASUS Vivobook 15 x1502ZA i3-1215U|4GB|256NVMe|dOS,"Rs. 136,800.00",4GB,12,i3,SSD,256GB
ASUS Vivobook 15 X1504VA i5-1335U|8GB|512GB|Win 11,"Rs. 215,000.00",8GB,13,i5,SSD,512GB
Asus Zenbook 14 OLED Q425MA Core Ultra 7|16GB|1TB|14 OLED,"Rs. 333,900.00",16GB,14,Ultra 7,SSD,1TB
ASUS TUF Gaming F15 FX507ZC4 i5-12500H|16GB|512GB|RTX3050,"Rs. 319,000.00",16GB,12,i5,SSD,512GB
Lenovo LOQ 15IRH8 i7-13620H|16GB|512GB|RTX4060|Win 11,"Rs. 465,000.00",16GB,13,i7,SSD,512GB
ASUS Creator Q540 I9-13900H|16GB|1TB|RTX3050|15.6 3K OLED,"Rs. 469,000.00",16GB,13,i9,SSD,1TB
ASUS Vivobook 15 'X1504VA' i7-1355U|8GB|512GB|15.6 FHD,"Rs. 265,000.00",8GB,13,i7,SSD,512GB
Asus Zenbook 14X OLED 'Q410'i5-13500H |8GB|512GB|14.5-inch 2.8K,"Rs. 249,000.00",8GB,13,i5,SSD,512GB
Lenovo IdeaPad Slim 3 16IRU9 Core 7 150U|16GB|512GB|16″ WUXGA,"Rs. 289,000.00",16GB,14,i7,SSD,512GB
Lenovo IdeaPad Slim 3 16IRU9 Core 5 120U|16GB|512GB|16″ WUXGA,"Rs. 253,000.00",16GB,14,i5,SSD,512GB
Acer Aspire A15-51P Core 5-120U|16GB|512GB|Win 11,"Rs. 224,000.00",16GB,12,i5,SSD,512GB
ASUS M515 Ryzen 3-3250U|4GB|128GB+1TB|WIN 10,"Rs. 150,885.00",4GB,3,Ryzen 3,HDD,1TB
HP 250 G10 i5-1335U|16GB|512GB|DOS,"Rs. 199,000.00",16GB,13,i5,SSD,512GB
ASUS Vivobook 15 X1502Z I5-12500H|16GB|512GB|DOS,"Rs. 229,000.00",16GB,12,i5,SSD,512GB
ASUS Vivobook 15 X1504 i5-1235U|8GB|512GB|Win 11,"Rs. 179,000.00",8GB,12,i5,SSD,512GB
Lenovo IdeaPad Gaming 3 Ryzen 5 5500H|8GB|512GB|rTX2050,"Rs. 279,000.00",8GB,5,Ryzen 5,SSD,512GB
HP 250 G10 i7-1355U|8GB|512GB|DOS,"Rs. 236,900.00",8GB,13,i7,SSD,512GB
ASUS Vivobook 16X F1605VA i5-13500H|8GB|512GB|16.0 WUXGA,"Rs. 229,000.00",8GB,13,i5,SSD,512GB
MSI Thin 15 B12UCX i7-12650H|16GB|512GB|RTX2050|144hz,"Rs. 303,000.00",16GB,12,i7,SSD,512GB
Dell Vostro 3530 i5- 1335U|8GB|512GB|DOS,"Rs. 245,000.00",8GB,13,i5,SSD,512GB
lenovo IdeaPad Slim 3 15IRH8 i5-13420H|8GB|512GB|DOS,"Rs. 199,000.00",8GB,13,i5,SSD,512GB
MSI Thin 15 B13UC i7-13620H|16GB|512GB|RTX3050|144hz,"Rs. 345,800.00",16GB,13,i7,SSD,512GB
DELL INSPIRON 3525 R5 5625U|8GB|512GB|WIN 11,"Rs. 228,850.00",8GB,5,Ryzen 5,SSD,512GB
LENOVO IDEAPAD 5 AMD RYZEN 7 5700U|16GB|512GB|14 FHD IPS,"Rs. 332,350.00",16GB,5,Ryzen 7,SSD,512GB
Lenovo IdeaPad 3 AMD Ryzen 5 5500U|8GB|512GB|15.6 IPS,"Rs. 228,850.00",8GB,5,Ryzen 5,SSD,512GB
LENOVO IDEAPAD 5 AMD RYZEN 7 5700U|16GB|512GB|15.6,"Rs. 286,350.00",16GB,5,Ryzen 7,SSD,512GB
Lenovo IdeaPad 5 AMD Ryzen 5 5500U|16GB|512GB|15.6,"Rs. 273,700.00",16GB,5,Ryzen 5,SSD,512GB
HUAWEI MateBook D15|I5-1135G7|8GB|512GB|Iris Xe,"Rs. 251,850.00",8GB,11,i5,SSD,512GB
HP 255 G8 Ryzen 5 5500U|8GB|1TB|WIN 10,"Rs. 229,885.00",8GB,5,Ryzen 5,HDD,1TB
Dell Vostro 3510 i3-1115G4|4GB|1TB|DOS,"Rs. 183,850.00",4GB,11,i3,HDD,1TB
Asus Vivobook 15 OLED M513UA R7-5700U|8GB|512GB|Win 10,"Rs. 297,850.00",8GB,5,Ryzen 7,SSD,512GB
Asus Vivobook Flip 14 TP470 i5-1135G7|8GB|512 NVMe|Touch|Win 10,"Rs. 385,250.00",8GB,11,i5,SSD,512GB
HP PROBOOK 450 G8|I5-1135G7|8GB|512GB|IRIS X,"Rs. 281,750.00",8GB,11,i5,SSD,512GB
ASUS VivoBook S15 S533EQ i7-1165G7|8GB|512GB NVMe|MX350 2GB,"Rs. 287,350.00",8GB,11,i7,SSD,512GB
"MacBook Air 'M1, 2020' M1 8-Core CPU 7-core GPU|8GB|256GB|13.3-inch Retina","Rs. 253,900.00",8GB,1,"Apple

8-core CPU with 4 perform­ance cores and 4 efficiency cores
7-core GPU
16-core Neural Engine",SSD,256GB
