Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
LENOVO SLIM 3 15ALC6 RYZEN5 5500U|8GB|512SSD|2GV|W11|grey(3y),"Rs. 250,400.00",8GB ,5,Ryzen 5,SSD,512GB
ACER A515-56-53LE CORE i5 11GN|4GB|1TB|W10|SIL (2y),"Rs. 211,150.00",4GB ,11,i5,HDD,1 TB
ACER TMP 215|RYZEN 5-5650U|8GB|512GB|WIN 10PRO (3y),"Rs. 247,200.00",8GB ,5,Ryzen 5,HDD,512GB
HP 255 G8 RYZEN 5 5500U|8GB|1TB|W10|bag(2y)dark ash,"Rs. 195,700.00",8GB ,5,Ryzen 5,HDD,1 TB
LENOVO V15 G2ITL i5|11GN|8GB|1TB|MX350|15.6'' FHD|W10(3y),"Rs. 216,300.00",8GB ,11,i5,HDD,1 TB
ASUS X513EA-BQ1631 CORE I3 11GN|4GB|512SSD|W11|BLK(2y)with bag,"Rs. 221,450.00",4GB ,11,i3,SSD,512GB
DELL INS 3530 i5|13GN|8GB|512SSD|W11(2y),"Rs. 291,250.00",8GB,13,i5,SSD,512GB
DELL 3511 CORE i5 11GN|8GB|512SSD|W11(2y)SIL,"Rs. 226,600.00",8GB,11,i5,SSD,512GB
ACER A515-58P-39UF i3|13GN|8GB|512SSD|15.6'' FHD|W11(2y),"Rs. 160,450.00",8GB,13,i3,SSD,512GB
HP 250 G10 i5|13GN|8GB|512SSD|15.6'' FHD|BACKLIT|DOS(3y),"Rs. 222,000.00",8GB,13,i5,SSD,512GB
DELL 3511 CORE i5|11GN|8GB|512SSD|MX350|W11|SIL(2y),"Rs. 247,200.00",8GB,11,i5,SSD,512GB
ACER TMP215-53-33H7 CORE i3 11GN|8GB|128GB+1TB|W10(2y),"Rs. 155,600.00",8GB,11,i3,SSD,128GB
ASUS UP3404V i5|13GN|8GB|512SSD|14''|W11(2y),"Rs. 394,250.00",8GB,13,i7,SSD,512GB
ASUS X1504V i7|13GN|16GB|512SSD|W11|BLUE(2y),"Rs. 335,500.00",16GB,13,i7,SSD,512GB
ACER A515-56G-58LQ CORE i5 11GN|8GB|1TB|2GV|W(2y) - bat & adp 1y,"Rs. 236,900.00",8GB,11,i5,HDD,1 TB
HP PROBOOK 440 G8 CORE i7 11GN/8GB/512SSD/14''/W10(3y),"Rs. 336,600.00",8GB ,11,i7,SSD,512GB
ACER A515-56-734Q CORE i7 11GN|8GB|1TB|MX350|WIN11(3y) bat & adp 1y,"Rs. 295,800.00",8GB,11,i7,HDD,1 TB
HP PROBOOK 440 G8 CORE i5 11GN/8GB/512SSD/14''/W10(3y),"Rs. 342,750.00",8GB,11,i5,SSD,512GB
DELL 3511 CORE i7|11GN|8GB|512SSD|MX350 2GV|W10(2y),"Rs. 285,600.00",8GB,11,i7,SSD,512GB
ASUS X513E-BQ1632W CORE i3 11GN|4GB|512SSD|W11|BLU(2y)with bag,"Rs. 221,450.00",4GB,11,i3,SSD,512GB
HP 250 G8 CORE i3 11GN|4GB|1TB|W10|BAG(3y),"Rs. 163,550.00",4GB,11,i3,HDD,1 TB
DELL 3525 RYZEN 7 5825U|8GB|512SSD|silver(2y),"Rs. 256,500.00",8GB,5,Ryzen 7 ,HDD,512GB
HP 250 G10 i3|13GN|8GB|512SSD|15.6'' FHD|BACKLIT|DOS(3y),"Rs. 177,500.00",8GB,13,i3,SSD,512GB
LENOVO IP3 15IAU7 CORE i3 12GN|8GB|256SSD|W11|BLUE(3y),"Rs. 155,250.00",8GB,12,i3,SSD,256GB
DELL INS 3530 i3|13GN|8GB|512SSD|W11(2y),"Rs. 189,550.00",8GB,13,i3,SSD,512GB
HP 15-fd0105TU i5|13GN|8GB|512SSD|W11(2y/bat & adp1y),"Rs. 242,050.00",8GB,13,i5,SSD,512GB
